#ies_format_version: 1.0
#file: 20250819_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250819;	125132;	1755588092.000;	       err32
20250819;	125136;	1755588096.000;	        1722
20250819;	125140;	1755588100.000;	        1726
20250819;	125144;	1755588104.000;	        1730
20250819;	125148;	1755588108.000;	        1734
20250819;	125152;	1755588112.000;	        1738
20250819;	125156;	1755588116.000;	        1742
20250819;	125200;	1755588120.000;	        1746
20250819;	125204;	1755588124.000;	        1750
20250819;	125208;	1755588128.000;	        1754
20250819;	125212;	1755588132.000;	        1758
20250819;	125216;	1755588136.000;	        1762
20250819;	125220;	1755588140.000;	        1766
20250819;	125224;	1755588144.000;	        1770
20250819;	125228;	1755588148.000;	        1774
20250819;	125232;	1755588152.000;	        1778
20250819;	125236;	1755588156.000;	        1782
20250819;	125240;	1755588160.000;	        1786
20250819;	125244;	1755588164.000;	        1790
20250819;	125248;	1755588168.000;	        1794
20250819;	125252;	1755588172.000;	        1798
20250819;	125256;	1755588176.000;	        1802
20250819;	125300;	1755588180.000;	        1806
20250819;	125304;	1755588184.000;	        1810
20250819;	125308;	1755588188.000;	        1814
20250819;	125312;	1755588192.000;	        1818
20250819;	125316;	1755588196.000;	        1822
20250819;	125320;	1755588200.000;	        1826
20250819;	125324;	1755588204.000;	        1830
20250819;	125328;	1755588208.000;	        1834
20250819;	125332;	1755588212.000;	       err32
20250819;	125336;	1755588216.000;	       err32
20250819;	125340;	1755588220.000;	       err32
20250819;	125344;	1755588224.000;	       err32
20250819;	125348;	1755588228.000;	       err32
20250819;	125352;	1755588232.000;	       err32
20250819;	125356;	1755588236.000;	       err32
20250819;	125400;	1755588240.000;	       err32
20250819;	125404;	1755588244.000;	       err32
20250819;	125408;	1755588248.000;	       err32
20250819;	125412;	1755588252.000;	       err32
20250819;	125416;	1755588256.000;	       err32
20250819;	125420;	1755588260.000;	       err32
20250819;	125424;	1755588264.000;	       err32
20250819;	125428;	1755588268.000;	        1893
20250819;	125432;	1755588272.000;	        1897
20250819;	125436;	1755588276.000;	        1901
20250819;	125440;	1755588280.000;	        1905
20250819;	125444;	1755588284.000;	        1909
20250819;	125448;	1755588288.000;	        1913
20250819;	125452;	1755588292.000;	        1917
20250819;	125456;	1755588296.000;	        1921
20250819;	125500;	1755588300.000;	        1925
20250819;	125504;	1755588304.000;	        1929
20250819;	125508;	1755588308.000;	        1933
20250819;	125512;	1755588312.000;	        1937
20250819;	125516;	1755588316.000;	        1941
20250819;	125520;	1755588320.000;	        1945
20250819;	125524;	1755588324.000;	        1949
20250819;	125528;	1755588328.000;	        1953
20250819;	125532;	1755588332.000;	        1957
20250819;	125536;	1755588336.000;	        1961
20250819;	125540;	1755588340.000;	        1965
20250819;	125544;	1755588344.000;	        1969
20250819;	125548;	1755588348.000;	        1973
20250819;	125552;	1755588352.000;	        1977
20250819;	125556;	1755588356.000;	        1981
20250819;	125600;	1755588360.000;	        1985
20250819;	125604;	1755588364.000;	        1989
20250819;	125608;	1755588368.000;	        1993
20250819;	125612;	1755588372.000;	        1997
20250819;	125616;	1755588376.000;	        2001
20250819;	125620;	1755588380.000;	        2005
20250819;	125624;	1755588384.000;	        2009
20250819;	125628;	1755588388.000;	        2013
20250819;	125632;	1755588392.000;	        2017
20250819;	125636;	1755588396.000;	        2021
20250819;	125640;	1755588400.000;	        2025
20250819;	125644;	1755588404.000;	        2029
20250819;	125648;	1755588408.000;	        2033
